zolai,english,pos,cefr,translations,synonyms,antonyms,related,example_zo,example_en,usage_notes,sources,book_count,first_book
"("")",ditto mark,,C2,ditto mark,,,,,,,Zomi Dictionary,,
(amel)amial(laidal)azollo,mat,,C2,mat,,,,,,,Tongdot-TKD,,
(anglo-indian),mem-sa-hib,n,C2,mem-sa-hib,,,(Anglo-India) hotel khawnga naseemten singkuang thungip khawng hong dom sak pak mana sum tamlo kipia pen,,,Noun — use as subject or object; nominalize with +na for abstract form.,"Dongdot, zomidictionary.app",,
(ansi),chaff,,C2,chaff,,,,,,,Tongdot-DLH,,
(antang),to fast to abstain,,C2,to fast to abstain,,,,,,,Tongdot-DLH,,
(arch)glitter,glister,,C2,glister,,,,,,,Tongdot-TKD,,
(bawngpi-keelpi)nawibu,udder,,C2,udder,,,,,,,Tongdot-TKD,,
(beng),ear,,C2,ear,,,,,,,Dongdot,,
(burmese),teingh khat,,C2,teingh khat,,,,,,,Zomi Dictionary,,
(ciangkang),to stretch as in rope,,C2,to stretch as in rope | sticks faggots twigs,,,,,,,Tongdot-DLH,,
"(gal,natna)pianna",out break,,C2,out break,,,,,,,Tongdot-TKD,,
(greek),alleluia,interj.n,C2,alleluia,,,,"Jesu ka mu nuam uh hi,” ci-in a gen uh hi.

22.",,Use '(Greek)' for 'alleluia'.,zomidictionary.app,,
(guatuai),bamboo shoot,,C2,bamboo shoot,,,,,,,Tongdot-DLH,,
(gui-awk),tocommit suicide byhanging oneself,,C2,tocommit suicide byhanging oneself,,,,,,,Tongdot-DLH,,
(heita),hatchet,,C2,hatchet,,,,,,,Dongdot,,
(hindi),pan (hindi),,C2,pan (hindi),,,,,,,Dongdot,,
(ibidem),ibid (ibidem),,C2,ibid (ibidem),,,,,,,Dongdot,,
(innteekpa),employer,,C2,employer,,,,,,,Dongdot,,
"(inntunglamna)bi
samsah",thatch ,,C2,thatch ,,,,,,,Tongdot-TKD,,
(keep),detonator,,C2,detonator,,,,,,,Dongdot,,
(khe),toe,,C2,toe,,,,,,,Tongdot-DLH,,
(kong),exit,,C2,exit,,,,,,,Tongdot-DLH,,
(lakam)misiluang,corse,,C2,corse,,,,,,,Tongdot-TKD,,
"(lakam)zelzel
pahpah",oft ,,C2,oft ,,,,,,,Tongdot-TKD,,
(lakam)zingsang,morn,,C2,morn,,,,,,,Tongdot-TKD,,
(land)slides,cim,,C2,cim,,,,,,,Tongdot-VZT,,
(leinuai),dungeon,,C2,dungeon,,,,,,,Tongdot-DLH,,
(meitha),fuel,,C2,fuel,,,,,,,Tongdot-DLH,,
